"Talent Roundup",185
"Ten Feet Off The Ground",187
"That Darn Cat",187
"That's What Friends Are For",193
"That's What Makes The World Go 'Round",190
"There Are Those",189
"These Are The Best Times",190
"Three Cheers for Anything",192
"Tiki Tiki Tiki Room The",191
"Time Of Your Life The",194
"Today Is Tuesday",197
"Toyland March",198
"Trashin' The Camp",200
"True To Your Heart",202
"Trust In Me",196
"Turn On The Old Music Box",196
"Twas Brillig",198
"Two Worlds",204
"Ugly Bug Ball The",199
"Unbirthday Song The",208
"Under The Sea",206
"Up Down And Touch The Ground",209
"Virginia Company The",208
"West O' The Wide Missouri",210
"Westward Ho The Wagons",212
"Whale Of A Tale A",211
"When A Man Has A Daughter",201
"When I See an Elephant Fly",213
"When She Loved Me",205
"When You Wish Upon A Star",212
"Whistle While You Work",173
"Whole New World",216
"Who's Afraid Of The Big Bad Wolf?",214
"Why Should I Worry?",218
"Winnie The Pooh",219
"With A Smile And A Song",222
"Wonderful Thing About Tiggers",223
"Woody's Roundup",215
"Work Song The -From Cinderella",224
"World Will Know",220
"World's Greatest Criminal Mind",224
"Wringle Wrangle",226
"Yo Ho",226
"You",223
"You Can Fly! You Can Fly! You Can Fly!",227
"You'll Be in My Heart",228
"Your Heart Will Lead You Home",230
"Your Mother And Mine",232
"You've Got A Friend In Me",236
"Zero To Hero",234
"Zip A Dee Doo Dah",232
"Theme from Zorro",233
